date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:03	141053/141053	---M-Z	200	added ('OK')	application/javascript	etag:W/%22226fd-wOU+038AjrppCU8dK3Iv1sYlOrM%22	https://unpkg.com/leaflet@1.4.0/dist/leaflet.js	C:/My%20Web%20Sites/kttvtaynguyen/unpkg.com/leaflet@1.4.0/dist/leaflet.js	(from http://www.nchmf.gov.vn/kttvsite/)
16:53:03	2930/2930	---M--	200	added ('OK')	image/png	etag:%2222b63bde6753d51:0%22	http://khituongvietnam.gov.vn/upload//Icons/admin/2019/8/15/15-08-2019-074925.png	C:/My%20Web%20Sites/kttvtaynguyen/khituongvietnam.gov.vn/upload/Icons/admin/2019/8/15/15-08-2019-074925.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:53:07	28223/28223	---M--	200	added ('OK')	image/jpeg	etag:%2279af7e5ab66ed51:0%22	http://nchmf.gov.vn/Kttvsite//images/new.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/new.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:53:10	46439/46439	---M--	200	added ('OK')	image/jpeg	etag:%2260c72e28f4cd61:0%22	http://thoitietvietnam.gov.vn/upload/Article/thoitiet/2020/6/27/053231_nang_nong_1_ldlb_qbkx.jpg	C:/My%20Web%20Sites/kttvtaynguyen/thoitietvietnam.gov.vn/upload/Article/thoitiet/2020/6/27/053231_nang_nong_1_ldlb_qbkx.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:53:10	100890/100890	---M--	200	added ('OK')	image/png	etag:%22af1312a78fb9d41:0%22	http://nchmf.gov.vn/Kttvsite//images/banner-mb-vi.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/banner-mb-vi.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:53:13	1849/1849	---M--	200	added ('OK')	image/gif	etag:%224cf2719e80d51:0%22	http://www.nchmf.gov.vn/upload/loader.gif	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/upload/loader.gif	(from http://www.nchmf.gov.vn/kttvsite/)
16:53:14	3838/3838	---M--	200	added ('OK')	image/png	etag:%226a581084580d51:0%22	http://www.nchmf.gov.vn/upload/search-icon.png	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/upload/search-icon.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:53:14	30789/30789	---M-Z	200	added ('OK')	application/javascript	etag:%2280cc6151d80d51:0%22	http://nchmf.gov.vn/Kttvsite//data/leaflet-searchvn.js	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/data/leaflet-searchvn.js	(from http://www.nchmf.gov.vn/kttvsite/)
16:53:37	152846/152846	---M--	200	added ('OK')	image/gif	etag:%224220efbfc855d61:0%22	http://thoitietvietnam.gov.vn/upload/Article/thoitiet/2020/7/9/muatuonc97.gif	C:/My%20Web%20Sites/kttvtaynguyen/thoitietvietnam.gov.vn/upload/Article/thoitiet/2020/7/9/muatuonc97.gif	(from http://www.nchmf.gov.vn/kttvsite/)
16:54:57	634950/634950	---M--	200	added ('OK')	image/png	etag:%225bd81e6a355d61:0%22	http://khituongvietnam.gov.vn//Upload/SynopImage/2020/7/09/UA-850-00.png	C:/My%20Web%20Sites/kttvtaynguyen/khituongvietnam.gov.vn/Upload/SynopImage/2020/7/09/UA-850-00.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:55:20	638521/638521	---M--	200	added ('OK')	image/png	etag:%22b1eef35a355d61:0%22	http://khituongvietnam.gov.vn//Upload/SynopImage/2020/7/09/UA-700-00.png	C:/My%20Web%20Sites/kttvtaynguyen/khituongvietnam.gov.vn/Upload/SynopImage/2020/7/09/UA-700-00.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:55:20	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jul%202020%2009:55:23%20GMT	http://khituongvietnam.gov.vn/maptv/map/{z}/{x}/{y}.png	C:/My%20Web%20Sites/kttvtaynguyen/khituongvietnam.gov.vn/maptv/map/{z}/{x}/{y}.1f.delayed	(from http://www.nchmf.gov.vn/kttvsite/)
16:55:21	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jul%202020%2009:55:23%20GMT	http://khituongvietnam.gov.vn/mapvn/map/{z}/{x}/{y}.png	C:/My%20Web%20Sites/kttvtaynguyen/khituongvietnam.gov.vn/mapvn/map/{z}/{x}/{y}.20.delayed	(from http://www.nchmf.gov.vn/kttvsite/)
16:55:22	4162/4162	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2009%20Jul%202020%2009:55:24%20GMT	https://code.highcharts.com/highcharts.js	C:/My%20Web%20Sites/kttvtaynguyen/code.highcharts.com/highcharts.21.delayed	(from http://www.nchmf.gov.vn/kttvsite/)
16:55:22	4162/4162	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2009%20Jul%202020%2009:55:24%20GMT	https://code.highcharts.com/modules/exporting.js	C:/My%20Web%20Sites/kttvtaynguyen/code.highcharts.com/modules/exporting.js	(from http://www.nchmf.gov.vn/kttvsite/)
16:55:23	3756/3756	---M--	200	added ('OK')	image/png	etag:%22ff8e969f279fd31:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2008/8/22/300.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2008/8/22/300.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:55:23	1450/1450	---M--	200	added ('OK')	image/png	etag:%22d63ae81a279fd31:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2008/8/22/261.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2008/8/22/261.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:55:24	6249/6249	---M--	200	added ('OK')	image/png	etag:%2278f450a4279fd31:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2008/8/22/340.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2008/8/22/340.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:55:33	873064/873064	---M--	200	added ('OK')	image/png	etag:%2215d6c5eaaa55d61:0%22	http://khituongvietnam.gov.vn//Upload/SynopImage/2020/7/09/UA-MD-00.png	C:/My%20Web%20Sites/kttvtaynguyen/khituongvietnam.gov.vn/Upload/SynopImage/2020/7/09/UA-MD-00.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:56:38	652427/652427	---M--	200	added ('OK')	image/png	etag:%229b66cb5a355d61:0%22	http://khituongvietnam.gov.vn//Upload/SynopImage/2020/7/09/UA-500-00.png	C:/My%20Web%20Sites/kttvtaynguyen/khituongvietnam.gov.vn/Upload/SynopImage/2020/7/09/UA-500-00.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:56:45	423700/423700	---M--	200	added ('OK')	image/png	etag:%222014d7c0c755d61:0%22	http://thoitietvietnam.gov.vn/upload/Article/haivan/2020/7/9/flow2020070912.png	C:/My%20Web%20Sites/kttvtaynguyen/thoitietvietnam.gov.vn/upload/Article/haivan/2020/7/9/flow2020070912.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:56:48	28090/28090	---M--	200	added ('OK')	image/png	etag:%22460f175c755d61:0%22	http://thoitietvietnam.gov.vn/upload/Article/haivan/2020/7/9/wave2020070912.png	C:/My%20Web%20Sites/kttvtaynguyen/thoitietvietnam.gov.vn/upload/Article/haivan/2020/7/9/wave2020070912.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:07	1020115/1020115	---M--	200	added ('OK')	image/gif	etag:%228d2bb49d7553d61:0%22	http://thoitietvietnam.gov.vn/upload/Article/thoitiet/2020/7/6/thoi-tiet-1-1-1-1.gif	C:/My%20Web%20Sites/kttvtaynguyen/thoitietvietnam.gov.vn/upload/Article/thoitiet/2020/7/6/thoi-tiet-1-1-1-1.gif	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:07	2250/2250	---M--	200	added ('OK')	image/jpeg	etag:%22d121eda7df7cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/BVBB-NTN-M.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/BVBB-NTN-M.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:08	2355/2355	---M--	200	added ('OK')	image/jpeg	etag:%225055e7f9e07cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/NVBB-NTN-Y.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/NVBB-NTN-Y.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:08	2397/2397	---M--	200	added ('OK')	image/jpeg	etag:%224f101e8ce27cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/QTQN-N-Y.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/QTQN-N-Y.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:09	2115/2115	---M--	200	added ('OK')	image/jpeg	etag:%22f6e2559e37cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/BDNT-N-Y.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/BDNT-N-Y.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:09	2365/2365	---M--	200	added ('OK')	image/jpeg	etag:%2234d036be47cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/BTCM-TN-Y.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/BTCM-TN-Y.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
